OE0013,Stno,XStno,Chipno1,Chipno2,Chipno3,Chipno4,Chipno5,Chipno6,Database Id,Surname,First name,YB,S,Block1,Block2,Block3,Block4,Block5,Block6,E1,E2,E3,E4,E5,E6,nc1,Start1,Finish1,Time1,Classifier1,Credit -1,Penalty +1,Comment1,nc2,Start2,Finish2,Time2,Classifier2,Credit -2,Penalty +2,Comment2,nc3,Start3,Finish3,Time3,Classifier3,Credit -3,Penalty +3,Comment3,nc4,Start4,Finish4,Time4,Classifier4,Credit -4,Penalty +4,Comment4,nc5,Start5,Finish5,Time5,Classifier5,Credit -5,Penalty +5,Comment5,nc6,Start6,Finish6,Time6,Classifier6,Credit -6,Penalty +6,Comment6,Club no.,Cl.name,City,Nat,Location,Region,Cl. no.,Short,Long,Entry cl. No,Entry class (short),Entry class (long),Rank,Ranking points,Num1,Num2,Num3,Text1,Text2,Text3,Addr. surname,Addr. first name,Street,Line2,Zip,Addr. city,Phone,Mobile,Fax,EMail,Rented,Start fee,Paid,Team,Place1,Place2,Place3,Place4,Place5,Place6,Total,Place
,197,,2092194,2092194,,,,,197,Doe_197,Arxcel,2000,M,,,,,,,X,X,0,0,0,0,0,11:39:12,12:46:16,1:07:04,0,,,,0,10:21:09,11:32:04,1:10:55,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:17:59,10
,135,,2075713,2075713,,,,,135,Doe_135,Brandon,2001,M,,,,,,,X,X,0,0,0,0,0,11:47:09,12:56:42,1:09:33,0,,,,0,10:13:09,11:23:09,1:10:00,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:19:33,11
,71,,2037971,2037971,,,,,71,Doe_71,Bruce,2000,M,,,,,,,X,X,0,0,0,0,0,11:19:30,12:27:16,1:07:46,0,,,,0,10:41:12,12:00:44,1:19:32,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:27:18,12
,78,,2037970,2037970,,,,,78,Doe_78,Adrian,2000,M,,,,,,,X,X,0,0,0,0,0,11:01:15,12:27:09,1:25:54,0,,,,0,10:59:14,12:00:52,1:01:38,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:27:32,13
,198,,2092195,2092195,,,,,198,Doe_198,Jesus,2000,M,,,,,,,X,X,0,0,0,0,0,11:33:12,12:26:57,53:45,0,,,,0,10:27:10,12:01:15,1:34:05,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:27:50,14
,286,,2054184,2054184,,,,,286,Doe_286,Christopher,2002,M,,,,,,,X,X,0,0,0,0,0,12:19:09,13:53:24,1:34:15,0,,,,0,9:41:10,10:50:51,1:09:41,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,924,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,X,0,0,,,,,,,,2:43:56,15
,136,,2075711,2075711,,,,,136,Doe_136,John,2001,M,,,,,,,X,X,0,0,0,0,0,12:01:02,12:56:40,55:38,0,,,,0,9:59:11,12:07:38,2:08:27,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:04:05,16
,70,,2037973,2037973,,,,,70,Doe_70,Robert,2001,M,,,,,,,X,X,0,0,0,0,0,12:41:10,15:06:48,2:25:38,0,,,,0,9:19:10,10:28:35,1:09:25,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:35:03,17
,79,,2037966,2037966,,,,,79,Doe_79,DeAndre,2000,M,,,,,,,X,X,0,0,0,0,0,10:55:17,13:06:17,2:11:00,3,,,,0,11:05:10,13:40:39,2:35:29,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,199,,2092191,2092191,,,,,199,Doe_199,Trevor,2001,M,,,,,,,X,X,0,0,0,0,0,11:27:14,12:21:27,54:13,2,,,,0,10:33:10,11:41:08,1:07:58,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,42,,2068339,2068339,,,,,42,Doe_42,Nathaniel,2000,M,,,,,,,X,X,0,0,0,0,0,12:57:12,15:36:17,2:39:05,3,,,,0,9:03:10,10:25:26,1:22:16,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,773,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,155,,2064800,2064800,,,,,155,Doe_155,Logan,2000,M,,,,,,,X,X,0,0,0,0,0,12:07:10,12:37:26,30:16,0,,,,0,9:53:10,11:09:26,1:16:16,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,112,,2064509,2064509,,,,,112,Doe_112,Chanda,2000,F,,,,,,,X,X,0,0,0,0,0,12:40:10,13:51:27,1:11:17,0,,,,0,9:20:10,10:32:09,1:11:59,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:23:16,1
,222,,2054178,2054178,,,,,222,Doe_222,Emily,1999,F,,,,,,,X,X,0,0,0,0,0,12:28:10,13:59:33,1:31:23,0,,,,0,9:32:10,10:49:57,1:17:47,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,917,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,X,0,0,,,,,,,,2:49:10,2
,290,,2054188,2054188,,,,,290,Doe_290,Isabella,2000,F,,,,,,,X,X,0,0,0,0,0,12:50:07,14:39:51,1:49:44,0,,,,0,9:10:07,10:12:41,1:02:34,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,924,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,X,0,0,,,,,,,,2:52:18,3
,224,,2054180,2054180,,,,,224,Doe_224,Tabea,2001,F,,,,,,,X,X,0,0,0,0,0,12:18:10,13:38:51,1:20:41,0,,,,0,9:42:10,11:14:08,1:31:58,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,917,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,X,0,0,,,,,,,,2:52:39,4
,47,,2051212,2051212,,,,,47,Doe_47,Kelsie,2000,F,,,,,,,X,X,0,0,0,0,0,10:38:08,11:45:56,1:07:48,0,,,,0,11:22:10,13:14:45,1:52:35,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,770,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:00:23,5
,56,,2026259,2026259,,,,,56,Doe_56,Christiane,2001,F,,,,,,,X,X,0,0,0,0,0,10:48:09,12:28:45,1:40:36,0,,,,0,11:12:11,13:04:48,1:52:37,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,918,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:33:13,6
,58,,2051295,2051295,,,,,58,Doe_58,Ashley,1999,F,,,,,,,X,X,0,0,0,0,0,10:42:10,12:14:40,1:32:30,0,,,,0,11:18:11,13:24:14,2:06:03,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,751,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:38:33,7
,122,,2033280,2033280,,,,,122,Doe_122,Shania,1999,F,,,,,,,X,X,0,0,0,0,0,10:58:07,13:02:48,2:04:41,0,,,,0,11:02:12,12:37:29,1:35:17,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:39:58,8
,203,,2092190,2092190,,,,,203,Doe_203,Brianna,1999,F,,,,,,,X,X,0,0,0,0,0,11:16:15,13:08:23,1:52:08,0,,,,0,10:44:11,12:34:50,1:50:39,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,3:42:47,9
,234,,2064527,2064527,,,,,234,Doe_234,Aleeyah,1998,F,,,,,,,X,X,0,0,0,0,0,11:38:11,13:14:43,1:36:32,0,,,,0,10:22:09,12:53:15,2:31:06,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,771,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,4:07:38,10
,168,,420299,420299,,,,,168,Doe_168,Laurel,2001,F,,,,,,,X,X,0,0,0,0,0,12:34:07,15:25:19,2:51:12,3,,,,0,9:26:07,12:28:46,3:02:39,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,721,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,243,,2064528,2064528,,,,,243,Doe_243,Megan,2000,F,,,,,,,X,X,0,0,0,0,0,11:32:22,13:44:23,2:12:01,3,,,,0,10:28:19,12:38:54,2:10:35,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,771,,,,,,9,ISJVF,ISJVF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,104,,2033277,2033277,,,,,104,Doe_104,Derrick,1997,M,,,,,,,X,X,0,0,0,0,0,11:52:07,12:24:35,32:28,0,,,,0,10:08:12,10:54:40,46:28,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:18:56,1
,95,,2033276,2033276,,,,,95,Doe_95,Ortez,1997,M,,,,,,,X,X,0,0,0,0,0,12:58:11,13:34:07,35:56,0,,,,0,9:02:10,9:47:13,45:03,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:20:59,2
,98,,2064506,2064506,,,,,98,Doe_98,Shallah,1998,M,,,,,,,X,X,0,0,0,0,0,12:22:10,13:07:49,45:39,0,,,,0,9:38:10,10:19:50,41:40,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:27:19,3
,97,,2033278,2033278,,,,,97,Doe_97,Dustin,1997,M,,,,,,,X,X,0,0,0,0,0,12:06:11,12:41:33,35:22,0,,,,0,9:54:14,10:55:24,1:01:10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:36:32,4
,143,,2075716,2075716,,,,,143,Doe_143,Jacob,2001,M,,,,,,,X,X,0,0,0,0,0,11:54:13,12:36:13,42:00,0,,,,0,10:06:13,11:01:42,55:29,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:37:29,5
,130,,2033274,2033274,,,,,130,Doe_130,Warren,1999,M,,,,,,,X,X,0,0,0,0,0,11:46:06,12:24:53,38:47,0,,,,0,9:52:07,10:57:34,1:05:27,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:44:14,6
,8,,2046707,2046707,,,,,8,Doe_8,Dylan,1999,M,,,,,,,X,X,0,0,0,0,0,11:18:15,12:08:08,49:53,0,,,,0,10:42:08,11:41:30,59:22,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,753,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:49:15,7
,159,,2092347,2092347,,,,,159,Doe_159,Jadie,1999,M,,,,,,,X,X,0,0,0,0,0,11:24:11,12:13:35,49:24,0,,,,0,10:36:08,11:36:35,1:00:27,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:49:51,8
,163,,2068591,2068591,,,,,163,Doe_163,Daniel,1999,M,,,,,,,X,X,0,0,0,0,0,10:18:12,11:20:15,1:02:03,0,,,,0,11:42:11,12:37:21,55:10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,721,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:57:13,9
,196,,2092186,2092186,,,,,196,Doe_196,Ben,2000,M,,,,,,,X,X,0,0,0,0,0,11:22:07,12:26:49,1:04:42,0,,,,0,10:38:10,11:31:01,52:51,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:57:33,10
,272,,348753,348753,,,,,272,Doe_272,Devon,2000,M,,,,,,,X,X,0,0,0,0,0,10:08:10,11:07:30,59:20,0,,,,0,11:52:12,12:55:00,1:02:48,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,708,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:02:08,11
,177,,2068592,2068592,,,,,177,Doe_177,Michael,2001,M,,,,,,,X,X,0,0,0,0,0,10:24:09,11:29:20,1:05:11,0,,,,0,11:36:11,12:45:10,1:08:59,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,721,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:14:10,12
,54,,2051216,2051216,,,,,54,Doe_54,Griff,1997,M,,,,,,,X,X,0,0,0,0,0,10:32:12,11:30:11,57:59,0,,,,0,11:28:13,12:46:23,1:18:10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,770,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:16:09,13
,147,,2075714,2075714,,,,,147,Doe_147,Antonio,2000,M,,,,,,,X,X,0,0,0,0,0,12:12:16,13:22:38,1:10:22,0,,,,0,9:48:11,10:58:27,1:10:16,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:20:38,14
,140,,2092349,2092349,,,,,140,Doe_140,Javier,1998,M,,,,,,,X,X,0,0,0,0,0,11:48:10,12:52:21,1:04:11,0,,,,0,10:12:10,11:31:05,1:18:55,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:23:06,15
,37,,2068298,2068298,,,,,37,Doe_37,Ethan,1999,M,,,,,,,X,X,0,0,0,0,0,12:42:10,13:50:08,1:07:58,0,,,,0,9:18:10,10:42:07,1:23:57,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,773,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:31:55,16
,174,,2068594,2068594,,,,,174,Doe_174,Joshua,1999,M,,,,,,,X,X,0,0,0,0,0,10:05:34,11:28:58,1:23:24,0,,,,0,11:54:11,13:02:44,1:08:33,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,721,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:31:57,17
,193,,2092188,2092188,,,,,193,Doe_193,Dillon,1999,M,,,,,,,X,X,0,0,0,0,0,11:34:10,12:36:25,1:02:15,0,,,,0,10:26:11,11:57:15,1:31:04,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:33:19,18
,16,,2046710,2046710,,,,,16,Doe_16,Alex,1999,M,,,,,,,X,X,0,0,0,0,0,11:06:09,12:26:51,1:20:42,0,,,,0,10:54:10,12:13:20,1:19:10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,753,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:39:52,19
,4,,2046706,2046706,,,,,4,Doe_4,Carson,1998,M,,,,,,,X,X,0,0,0,0,0,10:49:21,12:36:37,1:47:16,0,,,,0,11:10:08,12:09:45,59:37,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,753,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:46:53,20
,33,,2068320,2068320,,,,,33,Doe_33,Braden,2000,M,,,,,,,X,X,0,0,0,0,0,12:54:12,14:25:02,1:30:50,0,,,,0,9:06:10,10:24:12,1:18:02,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,773,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:48:52,21
,268,,2033261,2033261,,,,,268,Doe_268,Sawyer,2000,M,,,,,,,X,X,0,0,0,0,0,10:02:10,11:25:34,1:23:24,0,,,,0,11:58:11,13:24:22,1:26:11,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,708,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:49:35,22
,156,,2075715,2075715,,,,,156,Doe_156,Patrick,1998,M,,,,,,,X,X,0,0,0,0,0,12:00:12,13:29:59,1:29:47,0,,,,0,10:00:09,11:22:19,1:22:10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:51:57,23
,274,,348778,348778,,,,,274,Doe_274,Seth,1999,M,,,,,,,X,X,0,0,0,0,0,11:04:09,12:47:19,1:43:10,0,,,,0,10:56:11,12:06:26,1:10:15,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,708,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:53:25,24
,228,,2064896,2064896,,,,,228,Doe_228,Jovard,2000,M,,,,,,,X,X,0,0,0,0,0,10:16:11,11:33:58,1:17:47,0,,,,0,11:44:11,13:26:00,1:41:49,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,703,,,,,,11,ISJVM,ISJVM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:59:36,25
